trading_session_uuid,is_simulated,market_number,trading_day,event_seq,event_ts,record_kind,event_type,side,aggressor_side,order_id,trader_uuid,price,size,size_delta,size_resting_after,queue_position,queue_size,status_after,match_id,contra_order_id,bid_order_id,ask_order_id,bid_trader_uuid,ask_trader_uuid,source_created_ts
60068dbc-3479-45d5-827b-f4c1c079d182,True,1,1,1,2026-03-12T15:57:30.671863+00:00,order,add,bid,,9b127ecb-8b11-47c5-8981-ecda767b290b,0fb22d31-6575-4bee-afaf-03fc594f2ad6,120.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773331050.674049
60068dbc-3479-45d5-827b-f4c1c079d182,True,1,1,2,2026-03-12T15:57:30.676563+00:00,trade,trade,ask,S,,,120.0,1.0,,,,,,974d2ef2-2e49-4585-92fd-2d85b5691fb5,,9b127ecb-8b11-47c5-8981-ecda767b290b,c3060a11-7832-4e65-938e-210f215e43e7,0fb22d31-6575-4bee-afaf-03fc594f2ad6,fbe014b3-b825-49fb-9036-cb36871b78ad,1773331050.678629
60068dbc-3479-45d5-827b-f4c1c079d182,True,1,1,3,2026-03-12T15:57:30.679438+00:00,order,fill,ask,,c3060a11-7832-4e65-938e-210f215e43e7,fbe014b3-b825-49fb-9036-cb36871b78ad,120.0,1.0,-1.0,0.0,,,executed,974d2ef2-2e49-4585-92fd-2d85b5691fb5,9b127ecb-8b11-47c5-8981-ecda767b290b,,,,,1773331050.681052
60068dbc-3479-45d5-827b-f4c1c079d182,True,1,1,4,2026-03-12T15:57:30.681673+00:00,order,fill,bid,,9b127ecb-8b11-47c5-8981-ecda767b290b,0fb22d31-6575-4bee-afaf-03fc594f2ad6,120.0,1.0,-1.0,0.0,,,executed,974d2ef2-2e49-4585-92fd-2d85b5691fb5,c3060a11-7832-4e65-938e-210f215e43e7,,,,,1773331050.683488
60068dbc-3479-45d5-827b-f4c1c079d182,True,1,1,5,2026-03-12T15:57:30.689238+00:00,order,add,bid,,1f84a493-6ca4-47ed-bc85-d1f32359ebc6,0fb22d31-6575-4bee-afaf-03fc594f2ad6,115.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773331050.69102
60068dbc-3479-45d5-827b-f4c1c079d182,True,1,1,6,2026-03-12T15:57:30.694298+00:00,order,add,ask,,ad520cab-55c1-4892-bc93-a20ba8cf3c51,fbe014b3-b825-49fb-9036-cb36871b78ad,125.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773331050.695941
91f4b5e4-3db0-4d62-abb4-21be11b003d1,True,2,1,1,2026-03-12T15:57:31.012823+00:00,order,add,bid,,8187274e-66b5-4c4a-b30c-01b122dc6c59,2d64a462-6c4d-4af8-83ea-2ce95b94144d,120.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773331051.015682
91f4b5e4-3db0-4d62-abb4-21be11b003d1,True,2,1,2,2026-03-12T15:57:31.018507+00:00,trade,trade,ask,S,,,120.0,1.0,,,,,,ba67370b-1f7f-41de-b8c6-c887cfdaca51,,8187274e-66b5-4c4a-b30c-01b122dc6c59,030865bc-40d3-402b-8c56-9a33d059b93d,2d64a462-6c4d-4af8-83ea-2ce95b94144d,7cf9d78e-1683-465c-9457-85e7700f8379,1773331051.020287
91f4b5e4-3db0-4d62-abb4-21be11b003d1,True,2,1,3,2026-03-12T15:57:31.021192+00:00,order,fill,ask,,030865bc-40d3-402b-8c56-9a33d059b93d,7cf9d78e-1683-465c-9457-85e7700f8379,120.0,1.0,-1.0,0.0,,,executed,ba67370b-1f7f-41de-b8c6-c887cfdaca51,8187274e-66b5-4c4a-b30c-01b122dc6c59,,,,,1773331051.023722
91f4b5e4-3db0-4d62-abb4-21be11b003d1,True,2,1,4,2026-03-12T15:57:31.024378+00:00,order,fill,bid,,8187274e-66b5-4c4a-b30c-01b122dc6c59,2d64a462-6c4d-4af8-83ea-2ce95b94144d,120.0,1.0,-1.0,0.0,,,executed,ba67370b-1f7f-41de-b8c6-c887cfdaca51,030865bc-40d3-402b-8c56-9a33d059b93d,,,,,1773331051.025831
91f4b5e4-3db0-4d62-abb4-21be11b003d1,True,2,1,5,2026-03-12T15:57:31.031711+00:00,order,add,bid,,ebfbd7ff-5c5d-4ecb-998d-0d078026ee94,2d64a462-6c4d-4af8-83ea-2ce95b94144d,115.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773331051.033266
91f4b5e4-3db0-4d62-abb4-21be11b003d1,True,2,1,6,2026-03-12T15:57:31.035294+00:00,order,add,ask,,7ebaccf1-4222-4a7a-aee8-baeb7fa69b0d,7cf9d78e-1683-465c-9457-85e7700f8379,125.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773331051.036781
