trading_session_uuid,is_simulated,market_number,trading_day,event_seq,event_ts,source_mbo_event_seq,source_order_id,source_order_event_type,best_bid_px,best_bid_sz,best_bid_ct,best_ask_px,best_ask_sz,best_ask_ct,spread,midpoint,source_created_ts
60068dbc-3479-45d5-827b-f4c1c079d182,True,1,1,1,2026-03-12T15:57:30.671863+00:00,1,9b127ecb-8b11-47c5-8981-ecda767b290b,add,120.0,1.0,1,,,,,,1773331050.675194
60068dbc-3479-45d5-827b-f4c1c079d182,True,1,1,2,2026-03-12T15:57:30.676563+00:00,2,,trade,,,,,,,,,1773331050.684887
60068dbc-3479-45d5-827b-f4c1c079d182,True,1,1,3,2026-03-12T15:57:30.689238+00:00,5,1f84a493-6ca4-47ed-bc85-d1f32359ebc6,add,115.0,1.0,1,,,,,,1773331050.692143
60068dbc-3479-45d5-827b-f4c1c079d182,True,1,1,4,2026-03-12T15:57:30.694298+00:00,6,ad520cab-55c1-4892-bc93-a20ba8cf3c51,add,115.0,1.0,1,125.0,1.0,1,10.0,120.0,1773331050.697031
91f4b5e4-3db0-4d62-abb4-21be11b003d1,True,2,1,1,2026-03-12T15:57:31.012823+00:00,1,8187274e-66b5-4c4a-b30c-01b122dc6c59,add,120.0,1.0,1,,,,,,1773331051.017557
91f4b5e4-3db0-4d62-abb4-21be11b003d1,True,2,1,2,2026-03-12T15:57:31.018507+00:00,2,,trade,,,,,,,,,1773331051.027283
91f4b5e4-3db0-4d62-abb4-21be11b003d1,True,2,1,3,2026-03-12T15:57:31.031711+00:00,5,ebfbd7ff-5c5d-4ecb-998d-0d078026ee94,add,115.0,1.0,1,,,,,,1773331051.034542
91f4b5e4-3db0-4d62-abb4-21be11b003d1,True,2,1,4,2026-03-12T15:57:31.035294+00:00,6,7ebaccf1-4222-4a7a-aee8-baeb7fa69b0d,add,115.0,1.0,1,125.0,1.0,1,10.0,120.0,1773331051.037825
