trading_session_uuid,is_simulated,payload_json,response_json,created_ts
0bf46949-efb1-42b0-a71a-49afa856b838,True,"{""alert_streak_frequency"": 3, ""alert_window_size"": 5, ""dividends"": [8.0, 8.0], ""human_trader_params"": [{""initial_cash"": 2600.0, ""initial_stocks"": 20}, {""initial_cash"": 3800.0, ""initial_stocks"": 10}], ""initial_cash"": 2600.0, ""initial_midpoint"": 120.0, ""initial_spread"": 10.0, ""initial_stocks"": 20, ""is_simulated"": true, ""max_orders_per_minute"": 30, ""noise_trader_start_second"": 5, ""num_days"": 2, ""num_human_traders"": 2, ""num_noise_traders"": 0, ""step"": 1, ""trading_day_duration"": 1}","{""human_traders"": [""700a465b-2274-4beb-8e2a-828205b4dc48"", ""a41a6680-e63e-43e5-be2c-320235a034f4""], ""traders"": [""700a465b-2274-4beb-8e2a-828205b4dc48"", ""a41a6680-e63e-43e5-be2c-320235a034f4""], ""trading_session_uuid"": ""0bf46949-efb1-42b0-a71a-49afa856b838""}",1773331064.47751
db496c26-c51a-472d-bed2-db805b966bec,True,"{""alert_streak_frequency"": 3, ""alert_window_size"": 5, ""dividends"": [20.0, 20.0], ""human_trader_params"": [{""initial_cash"": 2600.0, ""initial_stocks"": 20}, {""initial_cash"": 3800.0, ""initial_stocks"": 10}], ""initial_cash"": 2600.0, ""initial_midpoint"": 120.0, ""initial_spread"": 10.0, ""initial_stocks"": 20, ""is_simulated"": true, ""max_orders_per_minute"": 30, ""noise_trader_start_second"": 5, ""num_days"": 2, ""num_human_traders"": 2, ""num_noise_traders"": 0, ""step"": 1, ""trading_day_duration"": 1}","{""human_traders"": [""2ae682af-5a7b-4752-98ae-21ff7bd1fb9a"", ""8f6316f2-e9f5-4356-b1d7-4145936d7ff2""], ""traders"": [""2ae682af-5a7b-4752-98ae-21ff7bd1fb9a"", ""8f6316f2-e9f5-4356-b1d7-4145936d7ff2""], ""trading_session_uuid"": ""db496c26-c51a-472d-bed2-db805b966bec""}",1773331064.82119
